######################################################################
# cpLv2 coherence-preserving leaf-repl  job=27392907  node=sh04-01n13.int  date=Tue Jun  2 18:16:15 PDT 2026
######################################################################
nproc=128
node distances:
node   0   1   2   3 
  0:  10  12  32  32 
  1:  12  10  32  32 
  2:  32  32  10  12 
  3:  32  32  12  10 
/share/software/user/open/gcc/14.2.0/bin/g++
g++ (GCC) 14.2.0
====================================================================
 COHERENCE-PRESERVING leaf-replication sweep (v2)  host=sh04-01n13.int  date=Tue Jun  2 18:16:15 PDT 2026
====================================================================
node distances:
node   0   1   2   3 
  0:  10  12  32  32 
  1:  12  10  32  32 
  2:  32  32  10  12 
  3:  32  32  12  10 
  SMT: CPU(s):                256
  SMT: Thread(s) per core:    1
  SMT: Core(s) per socket:    128
  SMT: Socket(s):             2
nproc(cpuset)=128 numa_nodes=4

[build]
  binary ready
  near 0,1 (dist 12)   far 0,2 (dist 32)
  X=32 per node, full-machine pair uses 2X=64 threads (all modes equal)

[correctness gate] naive vs leafhybrid(0.5) must bit-match (deterministic config)
  GATE OK (cea11336327a5bd2ceb27e05549aebf3)

  sizes=[3000 6000] fracs=[0.02 0.05 0.10 0.25 0.50 1.00] depth=5 reps=3

############ leaf-replication sweep (N / R / H(nodes) / leaf-frac) ############
  ===== rep 1 =====
    r1 sz=3000  naive      f=NA   near leafMB=0.00   cov=NA    render=1380   
    r1 sz=3000  replicate  f=NA   near leafMB=0.00   cov=NA    render=1241   
    r1 sz=3000  hybrid     f=NA   near leafMB=0.00   cov=NA    render=1357   
    r1 sz=3000  leafhybrid f=0.02 near leafMB=1.99   cov=0.470 render=2639   
    r1 sz=3000  leafhybrid f=0.05 near leafMB=4.99   cov=0.682 render=2697   
    r1 sz=3000  leafhybrid f=0.10 near leafMB=9.97   cov=0.850 render=2717   
    r1 sz=3000  leafhybrid f=0.25 near leafMB=24.93  cov=0.988 render=2663   
    r1 sz=3000  leafhybrid f=0.50 near leafMB=49.85  cov=1.000 render=2661   
    r1 sz=3000  leafhybrid f=1.00 near leafMB=99.70  cov=1.000 render=2641   
    r1 sz=3000  naive      f=NA   far  leafMB=0.00   cov=NA    render=1788   
    r1 sz=3000  replicate  f=NA   far  leafMB=0.00   cov=NA    render=1585   
    r1 sz=3000  hybrid     f=NA   far  leafMB=0.00   cov=NA    render=1741   
    r1 sz=3000  leafhybrid f=0.02 far  leafMB=1.99   cov=0.470 render=3390   
    r1 sz=3000  leafhybrid f=0.05 far  leafMB=4.99   cov=0.682 render=3434   
    r1 sz=3000  leafhybrid f=0.10 far  leafMB=9.97   cov=0.850 render=3458   
    r1 sz=3000  leafhybrid f=0.25 far  leafMB=24.93  cov=0.988 render=3422   
    r1 sz=3000  leafhybrid f=0.50 far  leafMB=49.85  cov=1.000 render=3426   
    r1 sz=3000  leafhybrid f=1.00 far  leafMB=99.70  cov=1.000 render=3383   
    r1 sz=6000  naive      f=NA   near leafMB=0.00   cov=NA    render=1611   
    r1 sz=6000  replicate  f=NA   near leafMB=0.00   cov=NA    render=1419   
    r1 sz=6000  hybrid     f=NA   near leafMB=0.00   cov=NA    render=1579   
    r1 sz=6000  leafhybrid f=0.02 near leafMB=3.99   cov=0.635 render=3116   
    r1 sz=6000  leafhybrid f=0.05 near leafMB=9.97   cov=0.862 render=3127   
    r1 sz=6000  leafhybrid f=0.10 near leafMB=19.94  cov=0.972 render=3147   
    r1 sz=6000  leafhybrid f=0.25 near leafMB=49.85  cov=1.000 render=3113   
    r1 sz=6000  leafhybrid f=0.50 near leafMB=99.70  cov=1.000 render=3102   
    r1 sz=6000  leafhybrid f=1.00 near leafMB=199.40 cov=1.000 render=3060   
    r1 sz=6000  naive      f=NA   far  leafMB=0.00   cov=NA    render=2044   
    r1 sz=6000  replicate  f=NA   far  leafMB=0.00   cov=NA    render=1810   
    r1 sz=6000  hybrid     f=NA   far  leafMB=0.00   cov=NA    render=2029   
    r1 sz=6000  leafhybrid f=0.02 far  leafMB=3.99   cov=0.635 render=3964   
    r1 sz=6000  leafhybrid f=0.05 far  leafMB=9.97   cov=0.862 render=4028   
    r1 sz=6000  leafhybrid f=0.10 far  leafMB=19.94  cov=0.972 render=4036   
    r1 sz=6000  leafhybrid f=0.25 far  leafMB=49.85  cov=1.000 render=4006   
    r1 sz=6000  leafhybrid f=0.50 far  leafMB=99.70  cov=1.000 render=4003   
    r1 sz=6000  leafhybrid f=1.00 far  leafMB=199.40 cov=1.000 render=4055   
  ===== rep 2 =====
    r2 sz=3000  naive      f=NA   near leafMB=0.00   cov=NA    render=1361   
    r2 sz=3000  replicate  f=NA   near leafMB=0.00   cov=NA    render=1224   
    r2 sz=3000  hybrid     f=NA   near leafMB=0.00   cov=NA    render=1361   
    r2 sz=3000  leafhybrid f=0.02 near leafMB=1.99   cov=0.470 render=2674   
    r2 sz=3000  leafhybrid f=0.05 near leafMB=4.99   cov=0.682 render=2681   
    r2 sz=3000  leafhybrid f=0.10 near leafMB=9.97   cov=0.850 render=2685   
    r2 sz=3000  leafhybrid f=0.25 near leafMB=24.93  cov=0.988 render=2675   
    r2 sz=3000  leafhybrid f=0.50 near leafMB=49.85  cov=1.000 render=2674   
    r2 sz=3000  leafhybrid f=1.00 near leafMB=99.70  cov=1.000 render=2619   
    r2 sz=3000  naive      f=NA   far  leafMB=0.00   cov=NA    render=1736   
    r2 sz=3000  replicate  f=NA   far  leafMB=0.00   cov=NA    render=1573   
    r2 sz=3000  hybrid     f=NA   far  leafMB=0.00   cov=NA    render=1737   
    r2 sz=3000  leafhybrid f=0.02 far  leafMB=1.99   cov=0.470 render=3374   
    r2 sz=3000  leafhybrid f=0.05 far  leafMB=4.99   cov=0.682 render=3455   
    r2 sz=3000  leafhybrid f=0.10 far  leafMB=9.97   cov=0.850 render=3491   
    r2 sz=3000  leafhybrid f=0.25 far  leafMB=24.93  cov=0.988 render=3466   
    r2 sz=3000  leafhybrid f=0.50 far  leafMB=49.85  cov=1.000 render=3401   
    r2 sz=3000  leafhybrid f=1.00 far  leafMB=99.70  cov=1.000 render=3381   
    r2 sz=6000  naive      f=NA   near leafMB=0.00   cov=NA    render=1622   
    r2 sz=6000  replicate  f=NA   near leafMB=0.00   cov=NA    render=1411   
    r2 sz=6000  hybrid     f=NA   near leafMB=0.00   cov=NA    render=1576   
    r2 sz=6000  leafhybrid f=0.02 near leafMB=3.99   cov=0.635 render=3153   
    r2 sz=6000  leafhybrid f=0.05 near leafMB=9.97   cov=0.862 render=3124   
    r2 sz=6000  leafhybrid f=0.10 near leafMB=19.94  cov=0.972 render=3129   
    r2 sz=6000  leafhybrid f=0.25 near leafMB=49.85  cov=1.000 render=3113   
    r2 sz=6000  leafhybrid f=0.50 near leafMB=99.70  cov=1.000 render=3104   
    r2 sz=6000  leafhybrid f=1.00 near leafMB=199.40 cov=1.000 render=3092   
    r2 sz=6000  naive      f=NA   far  leafMB=0.00   cov=NA    render=2040   
    r2 sz=6000  replicate  f=NA   far  leafMB=0.00   cov=NA    render=1826   
    r2 sz=6000  hybrid     f=NA   far  leafMB=0.00   cov=NA    render=2029   
    r2 sz=6000  leafhybrid f=0.02 far  leafMB=3.99   cov=0.635 render=3974   
    r2 sz=6000  leafhybrid f=0.05 far  leafMB=9.97   cov=0.862 render=4040   
    r2 sz=6000  leafhybrid f=0.10 far  leafMB=19.94  cov=0.972 render=4034   
    r2 sz=6000  leafhybrid f=0.25 far  leafMB=49.85  cov=1.000 render=4006   
    r2 sz=6000  leafhybrid f=0.50 far  leafMB=99.70  cov=1.000 render=4077   
    r2 sz=6000  leafhybrid f=1.00 far  leafMB=199.40 cov=1.000 render=3962   
  ===== rep 3 =====
    r3 sz=3000  naive      f=NA   near leafMB=0.00   cov=NA    render=1381   
    r3 sz=3000  replicate  f=NA   near leafMB=0.00   cov=NA    render=1237   
    r3 sz=3000  hybrid     f=NA   near leafMB=0.00   cov=NA    render=1372   
    r3 sz=3000  leafhybrid f=0.02 near leafMB=1.99   cov=0.470 render=2653   
    r3 sz=3000  leafhybrid f=0.05 near leafMB=4.99   cov=0.682 render=2692   
    r3 sz=3000  leafhybrid f=0.10 near leafMB=9.97   cov=0.850 render=2751   
    r3 sz=3000  leafhybrid f=0.25 near leafMB=24.93  cov=0.988 render=2694   
    r3 sz=3000  leafhybrid f=0.50 near leafMB=49.85  cov=1.000 render=2691   
    r3 sz=3000  leafhybrid f=1.00 near leafMB=99.70  cov=1.000 render=2618   
    r3 sz=3000  naive      f=NA   far  leafMB=0.00   cov=NA    render=1780   
    r3 sz=3000  replicate  f=NA   far  leafMB=0.00   cov=NA    render=1566   
    r3 sz=3000  hybrid     f=NA   far  leafMB=0.00   cov=NA    render=1738   
    r3 sz=3000  leafhybrid f=0.02 far  leafMB=1.99   cov=0.470 render=3395   
    r3 sz=3000  leafhybrid f=0.05 far  leafMB=4.99   cov=0.682 render=3431   
    r3 sz=3000  leafhybrid f=0.10 far  leafMB=9.97   cov=0.850 render=3470   
    r3 sz=3000  leafhybrid f=0.25 far  leafMB=24.93  cov=0.988 render=3446   
    r3 sz=3000  leafhybrid f=0.50 far  leafMB=49.85  cov=1.000 render=3499   
    r3 sz=3000  leafhybrid f=1.00 far  leafMB=99.70  cov=1.000 render=3387   
